City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Matamoros,MX,80.98,clear sky,25.5333,-103.25,Quinta Belem
193,Pochutla,MX,81.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
197,Arlit,NE,83.89,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
198,Kahului,US,77.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
199,Valle De Allende,MX,74.43,broken clouds,26.9333,-105.4,Hotel Meson de San Bartolome
200,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
201,Pulaski,US,76.17,clear sky,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
207,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
209,Mamallapuram,IN,89.65,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
210,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
212,Yeppoon,AU,76.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
217,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
221,Conakry,GN,77.07,light rain,9.538,-13.6773,Riviera Royal Hotel
225,Phangnga,TH,87.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
228,Coahuayana,MX,76.05,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
231,Mogok,MM,78.15,broken clouds,22.9167,96.5,MOGOK HILL HOTEL
235,Hasaki,JP,72.28,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
237,Puerto Penasco,MX,70.92,few clouds,31.3167,-113.5333,Playa Bonita Resort
239,Sambava,MG,79.83,clear sky,-14.2667,50.1667,Melrose
241,Tautira,PF,80.8,clear sky,-17.7333,-149.15,Pension Oaoa
242,Anqing,CN,73.78,overcast clouds,30.5092,117.0506,Hongtian Hotel
245,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
246,Bonthe,SL,74.61,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
249,Amontada,BR,72.81,scattered clouds,-3.3617,-39.8317,Casa do Otávio
257,Hobyo,SO,86.9,broken clouds,5.3505,48.5268,Iftin hotel hobyo
260,Komsomolskiy,UZ,75.92,few clouds,40.4272,71.7189,Ikathouse
262,Mirador,BR,72.86,broken clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
264,Bengkulu,ID,85.37,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
267,Cabo San Lucas,MX,80.62,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
268,Kuala Terengganu,MY,89.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
272,Dong Hoi,VN,85.41,overcast clouds,17.4833,106.6,Nam Long Hotel
276,Moerai,PF,79.92,few clouds,-22.4333,-151.3333,Le Manotel
277,Puerto Leguizamo,CO,72.75,overcast clouds,-0.1934,-74.7819,la casona de juancho
278,Bosaso,SO,87.78,clear sky,11.2842,49.1816,Red Sea Hotel
279,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
280,Flinders,AU,74.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
282,Houston,US,76.12,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
283,Jacareacanga,BR,74.21,broken clouds,-6.2222,-57.7528,Casa do Ian😎
284,Carora,VE,75.31,overcast clouds,10.1755,-70.0827,Hotel Irpinia
287,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
289,Port Augusta,AU,74.05,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
293,Sinnamary,GF,77.65,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
296,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
297,Puerto Madero,MX,81.3,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
299,Kazerun,IR,82.76,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
302,Akyab,MM,86.65,broken clouds,20.15,92.9,Hotel Memory
304,Srivardhan,IN,87.15,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
306,Eyl,SO,90.3,overcast clouds,7.9803,49.8164,Amiin Hotel
307,Saint-Georges,GD,79.27,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
308,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
310,Oeiras,BR,73.17,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
312,Tarauaca,BR,70.2,scattered clouds,-8.1614,-70.7656,Flat Temporada
315,Marawi,PH,77.05,overcast clouds,7.9986,124.2928,Derogongan Residence
318,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
320,Mackay,AU,76.19,clear sky,-21.15,149.2,International Lodge Motel
321,Faanui,PF,81.46,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
325,Lethem,GY,75.96,overcast clouds,3.3803,-59.7968,Savannah Inn
326,Wichita,US,78.19,few clouds,37.6922,-97.3375,Courtyard by Marriott Wichita at Old Town
327,Harper,LR,76.8,overcast clouds,4.375,-7.7169,Screensaver
331,Tateyama,JP,70.11,light intensity shower rain,34.9833,139.8667,Tateyama Seaside Hotel
333,Basco,PH,84.09,broken clouds,20.4487,121.9702,Nathaniel's Lodge
336,Nkhotakota,MW,72.16,clear sky,-12.9274,34.2961,Sitima Inn
340,Itarema,BR,75.96,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
343,Le Port,RE,80.56,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
344,Champerico,GT,82.58,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
346,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
347,Soure,BR,77.81,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
349,Nelson Bay,AU,70.11,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
353,San Juan De Uraba,CO,78.58,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
355,Sherman,US,77.02,clear sky,33.6357,-96.6089,La Quinta Inn & Suites by Wyndham Sherman
357,Toro,CO,72.28,moderate rain,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
358,Kontagora,NG,79.12,few clouds,10.3999,5.4695,Queens Guest Inn
360,Jiujiang,CN,74.61,overcast clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
361,Nago,JP,79.65,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
365,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
367,Carutapera,BR,74.59,overcast clouds,-1.195,-46.02,Lidera
369,Saposoa,PE,70.59,overcast clouds,-6.934,-76.7716,Hostal Primavera
370,Yima,CN,71.98,few clouds,34.7381,111.8839,Yima Hotel
374,Celestun,MX,73.54,clear sky,20.8667,-90.4,Posada Lilia
377,Marsh Harbour,BS,76.44,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
378,Santo Domingo,DO,77.04,broken clouds,18.5001,-69.9886,Cabañas City Heart
379,Muti,PH,87.53,overcast clouds,7.2758,122.28,Malumin stone beach
380,Maningrida,AU,85.86,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
383,Kieta,PG,83.01,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
