City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Muros,ES,2022-05-07 18:50:41,42.7762,-9.0603,63.03,69,100,5.26
69,Mahebourg,MU,2022-05-07 18:50:42,-20.4081,57.7,77.25,88,40,9.22
70,Baykit,RU,2022-05-07 18:50:42,61.67,96.37,29.3,88,100,12.24
71,Kermanshah,IR,2022-05-07 18:50:43,34.3142,47.065,58.1,41,75,13.8
72,Bouca,CF,2022-05-07 18:50:43,6.5105,18.2733,76.46,69,100,2.95
73,Thompson,CA,2022-05-07 18:50:15,55.7435,-97.8558,64.56,55,40,10.36
74,Grindavik,IS,2022-05-07 18:50:44,63.8424,-22.4338,48.15,76,75,25.32
75,Atuona,PF,2022-05-07 18:50:45,-9.8,-139.0333,78.6,70,32,16.75
76,Loiza,PR,2022-05-07 18:50:45,18.4313,-65.8802,89.82,67,40,18.41
77,Saboya,CO,2022-05-07 18:50:46,5.6964,-73.7693,58.23,89,100,1.99
78,Leningradskiy,RU,2022-05-07 18:50:46,69.3833,178.4167,22.46,93,98,2.26
79,Coquimbo,CL,2022-05-07 18:50:47,-29.9533,-71.3436,56.93,88,100,4.61
80,Binga,ZW,2022-05-07 18:50:47,-17.6203,27.3414,72.72,65,60,2.51
81,Torfyanoy,RU,2022-05-07 18:50:48,58.4916,49.1979,47.59,65,8,10.22
82,Asilah,MA,2022-05-07 18:50:48,35.465,-6.0348,73.36,63,6,10.94
83,Tibiri,NE,2022-05-07 18:50:49,13.5627,7.0485,94.64,27,100,8.9
84,Khatanga,RU,2022-05-07 18:50:38,71.9667,102.5,-11.2,100,97,5.35
85,Angoram,PG,2022-05-07 18:50:49,-4.0625,144.0661,74.39,99,98,2.3
86,Belawan,ID,2022-05-07 18:50:50,3.7755,98.6832,77.29,82,100,4.03
87,Lewiston,US,2022-05-07 18:45:59,44.1003,-70.2148,58.71,30,20,13.8
88,Nantucket,US,2022-05-07 18:50:50,41.2835,-70.0995,51.94,85,100,23.02
89,Longyearbyen,SJ,2022-05-07 18:50:51,78.2186,15.6401,13.84,67,75,8.05
90,New Norfolk,AU,2022-05-07 18:50:51,-42.7826,147.0587,53.1,67,100,1.01
91,Dolgoye,RU,2022-05-07 18:50:52,52.8,37.2167,49.37,71,100,6.06
92,Tiksi,RU,2022-05-07 18:50:52,71.6872,128.8694,4.78,97,13,7.36
93,Tura,IN,2022-05-07 18:50:53,25.5198,90.2201,72.99,79,0,3.22
94,Hobyo,SO,2022-05-07 18:50:53,5.3505,48.5268,83.23,83,7,20.42
95,Makakilo City,US,2022-05-07 18:50:54,21.3469,-158.0858,73.72,70,100,11.5
96,Loyga,RU,2022-05-07 18:50:54,61.0784,44.6075,48.7,81,91,9.66
97,Yuancheng,CN,2022-05-07 18:50:55,36.652,107.7896,57.76,69,100,4.47
98,Carnoustie,GB,2022-05-07 18:50:55,56.5014,-2.7091,53.11,76,75,11.5
99,Bitung,ID,2022-05-07 18:50:56,1.4451,125.1824,77.85,83,55,1.03
100,Gigmoto,PH,2022-05-07 18:46:08,13.7796,124.39,79.93,87,87,9.42
101,Cabo San Lucas,MX,2022-05-07 18:48:11,22.8909,-109.9124,87.62,57,0,8.03
102,Codrington,AU,2022-05-07 18:50:58,-38.2667,141.9667,52.21,84,61,7.9
103,Faanui,PF,2022-05-07 18:50:59,-16.4833,-151.75,81.03,77,0,7.7
104,Shimoda,JP,2022-05-07 18:50:59,34.6667,138.95,61.11,93,61,7.34
105,Burns Lake,CA,2022-05-07 18:51:00,54.2331,-125.7533,44.02,35,79,6.46
106,Maragogi,BR,2022-05-07 18:51:00,-9.0122,-35.2225,79.63,81,38,7.2
107,Ceyhan,TR,2022-05-07 18:51:01,37.0247,35.8175,64.74,68,36,4.16
108,Saldanha,ZA,2022-05-07 18:51:01,-33.0117,17.9442,55.45,69,0,22.79
109,Qaanaaq,GL,2022-05-07 18:51:02,77.484,-69.3632,20.1,74,100,0.85
110,Banjarmasin,ID,2022-05-07 18:51:02,-3.3244,114.591,77.14,96,81,2.48
111,Krasnovishersk,RU,2022-05-07 18:51:03,60.4078,57.082,36.72,93,27,3.71
112,Mar Del Plata,AR,2022-05-07 18:48:36,-38.0023,-57.5575,73.42,64,0,21.85
113,Sambava,MG,2022-05-07 18:51:03,-14.2667,50.1667,76.19,85,19,6.31
114,Mount Gambier,AU,2022-05-07 18:51:04,-37.8333,140.7667,51.71,76,100,6.91
115,Punta Arenas,CL,2022-05-07 18:51:04,-53.15,-70.9167,51.91,66,40,28.77
116,Yellowknife,CA,2022-05-07 18:48:42,62.456,-114.3525,37.92,93,100,29.93
